port_type.keys,port_type.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,choice.keys,choice.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prompt,opt_a,opt_b,correct,pre_post,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_4.keys,key_resp_4.rt
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,1,7.7021,0,9,9,8,1,"Entre los alumnos, siempre hay un equilibrio de inteligencia y estupidez en una escuela. Los _______________ siempre están en las clases de ‘honor.’ (estudioso)",estudiantes estudiosos,estudiosos estudiantes,opt_a,post,,,,,,,,,,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,,,,,,space,1.3382,,,,,,,,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,Santiago compró una nueva computadora.,La computadora era 100% nueva.,Compró otra computadora.,opt_a,,,,0,8.1651,0,0,0,5,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,Mi abuela tiene dos lámparas antiguas en el salón.,Tiene dos lámparas viejas en el salón.,Tiene dos lámparas del salón que reliquías.,opt_a,,,,1,6.7477,0,1,1,6,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,El cuadro grande es muy caro.,El cuadro es impresionante y cuesta mucho dinero,El cuadro es enorme y cuesta mucho dinero,opt_b,,,,1,4.135,0,2,2,0,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,En esa casa vive un hombre solo.,Solo vive un hombre en la casa.,El hombre se siente solo.,opt_a,,,,1,4.5805,0,3,3,7,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,Marta es la persona única de quien te hablé.,"No te hablé de nadie más, aparte de Marta.","No hay nadie (tan especial) como Marta, la de que te hablé.",opt_b,,,,1,8.9524,0,4,4,4,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,Sus padres hablan una rara lengua.,Hablan una lengua que muy poca gente habla.,Hablan una lengua extraña.,opt_b,,,,1,4.4292,0,5,5,3,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,Mi amigo viejo viene a comer con nosotros ,Mi amigo ha sido mi amigo por muchos años,Mi amigo es mayor,opt_b,,,,1,4.2373,0,6,6,1,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,Mariela es una vieja amiga de Florencia.,Hace muchos años que son amigas.,Mariela es vieja.,opt_a,,,,1,4.2806,0,7,7,8,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,Las grandes obras son impresionantes.,Las obras no son pequeñas.,Las obras son grandiosas.,opt_b,,,,0,3.335,0,8,8,2,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,El mismo presidente habló con la clase.,"El presidente, y no otra persona, habló con las clase.",El presidente que ya había estado habló con la clase.,opt_a,,,,1,7.1882,0,9,9,9,1,,
,,5fa318d8cbda73497645e374,001,2022-09-19_14h17.55.453,rothman_exp,2022.2.3,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,space,23.3486
